item_number,description,tw_retail_price,tw_reseller_price,product_status,category,replacement_model,weight_kg,origin_country,search_text
TMXK80,"Snap-on 二分 8"" 延長接桿",1250,0,Current,Snap-on 套筒系列,,0,,"TMXK80 Snap-on 二分 8"" 延長接桿 Snap-on 套筒系列"
TMXKL114A,"Snap-on 1/4"" Drive 14""延長接桿",0,0,Current,Snap-on 套筒系列,,0,,"TMXKL114A Snap-on 1/4"" Drive 14""延長接桿 Snap-on 套筒系列"
TMXKL2,"Snap-on 1/4"" Drive 2"" 延長接桿",0,0,Current,Snap-on 套筒系列,,0,,"TMXKL2 Snap-on 1/4"" Drive 2"" 延長接桿 Snap-on 套筒系列"
TMXKL3,"Snap-on 1/4"" Drive 3"" 延長接桿",0,0,Current,Snap-on 套筒系列,,0,,"TMXKL3 Snap-on 1/4"" Drive 3"" 延長接桿 Snap-on 套筒系列"
TMXWK4,"Snap-on 1/4"" 4"" 滾花延長桿",1200,0,Current,Snap-on 其他工具,,0,,"TMXWK4 Snap-on 1/4"" 4"" 滾花延長桿 Snap-on 其他工具"
TMXWK60,"Snap-on 1/4"" 6"" 滾花延長桿",1200,0,Current,Snap-on 其他工具,,0,,"TMXWK60 Snap-on 1/4"" 6"" 滾花延長桿 Snap-on 其他工具"
TMXWP1,"Snap-on 二分 1/4"" drive 1-1/4"" 搖頭延長桿",800,0,Current,Snap-on 其他工具,,0,,"TMXWP1 Snap-on 二分 1/4"" drive 1-1/4"" 搖頭延長桿 Snap-on 其他工具"
TMXWP11,"Snap-on 二分 1/4"" drive 11"" 搖頭延長桿",1550,0,Current,Snap-on 其他工具,,0,,"TMXWP11 Snap-on 二分 1/4"" drive 11"" 搖頭延長桿 Snap-on 其他工具"
TMXWP2,"Snap-on 二分 1/4"" drive 2"" 搖頭延長桿",900,0,Current,Snap-on 其他工具,,0,,"TMXWP2 Snap-on 二分 1/4"" drive 2"" 搖頭延長桿 Snap-on 其他工具"
TMXWP4,"Snap-on 二分 1/4"" drive 4"" 搖頭延長桿",900,0,Current,Snap-on 其他工具,,0,,"TMXWP4 Snap-on 二分 1/4"" drive 4"" 搖頭延長桿 Snap-on 其他工具"
TMXWP6,"Snap-on 二分 1/4"" drive 6"" 搖頭延長桿",1300,0,Current,Snap-on 其他工具,,0,,"TMXWP6 Snap-on 二分 1/4"" drive 6"" 搖頭延長桿 Snap-on 其他工具"
TMXWP8,"Snap-on 二分 1/4"" drive 8"" 搖頭延長桿",1550,0,Current,Snap-on 其他工具,,0,,"TMXWP8 Snap-on 二分 1/4"" drive 8"" 搖頭延長桿 Snap-on 其他工具"
TN72,"Snap-on 二分 1/4"" 圓形賓士頭棘輪扳手",4200,0,Current,Snap-on 扳手系列,,0,,"TN72 Snap-on 二分 1/4"" 圓形賓士頭棘輪扳手 Snap-on 扳手系列"
